type_of_sentence,verb_main_semantic_class,verb_second_semantic_class,verb_third_semantic_class,verb_veridical_positive,verb_veridical_negative,verb_tense,t_negation,presupposition
?,mówienia,pamięciowy,none,o,?,brak,0,yes
?,mówienia,pamięciowy,none,o,o,present,0,yes
1,mówienia,pamięciowy,none,o,?,brak,0,yes
1,emotywny,epistemiczny,none,+,+,brak,0,yes
modalne,emotywny,epistemiczny,none,+,+,past,1,yes
modalne,emotywny,epistemiczny,none,+,+,present,1,yes
modalne; pytajne,emotywny,epistemiczny,none,+,+,present,1,yes
1,wnioskowania,epistemiczny,none,o,o,present,0,no
1,epistemiczny,none,none,o,o,present,0,no
1,epistemiczny,none,none,o,o,future,0,yes
1,mówienia,none,none,o,?,present,0,no
1,mówienia,none,none,o,?,present,0,no
1,mówienia,none,none,o,?,past,0,no
1,mówienia,none,none,o,?,past,0,yes
1,mówienia,none,none,o,?,past,0,yes
imperatyw ,mówienia,none,none,o,?,brak,0,yes
modalne,mówienia,none,none,o,?,present,0,yes
1,odkrycia,none,none,+,+,past,0,yes
1,odkrycia,none,none,+,+,past,0,yes
1,zdarzeniowy,none,none,o,?,past,0,no
1,zdarzeniowy,none,none,o,?,past,0,no
1,dowodzenia,wnioskowania,mówienia,o,o,past,0,no
1,dowodzenia,wnioskowania,mówienia,o,o,past,0,yes
1,dowodzenia,wnioskowania,mówienia,o,o,present,0,yes
1,wnioskowania,epistemiczny,none,o,o,past,0,no
1,wnioskowania,epistemiczny,none,o,o,past,0,no
imperatyw ,epistemiczny,none,none,o,o,brak,0,yes
1,epistemiczny,none,none,o,o,brak,0,no
imperatyw ,epistemiczny,none,none,o,o,brak,0,yes
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
imperatyw ,epistemiczny,none,none,o,o,brak,0,yes
imperatyw ,epistemiczny,none,none,o,o,brak,0,yes
1,mówienia,pamięciowy,none,+,?,past,0,yes
1,zdarzeniowy,none,none,+,?,past,0,yes
1,mówienia,none,none,o,o,past,0,no
1,mówienia,emotywny,none,+,+,present,0,yes
1,mówienia,none,none,+,+,past,0,no
1,epistemiczny,none,none,o,+,future,0,yes
1,epistemiczny,none,none,o,+,past,1,yes
1,percepcyjny,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
modalne,pamięciowy,epistemiczny,none,+,+,present,1,yes
1,pamięciowy,epistemiczny,none,+,+,present,0,yes
?,pamięciowy,epistemiczny,none,+,+,brak,1,yes
imperatyw ,pamięciowy,epistemiczny,none,+,+,brak,1,yes
modalne,pamięciowy,epistemiczny,none,+,+,present,1,yes
?,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,brak,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
powinnościowe,pamięciowy,epistemiczny,none,+,+,future,0,yes
1,emotywny,epistemiczny,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
warunkowe; modalne,epistemiczny,percepcyjny,none,+,+,present,0,yes
1,epistemiczny,percepcyjny,none,+,+,past,1,yes
?,epistemiczny,percepcyjny,none,+,+,brak,0,yes
1,epistemiczny,percepcyjny,none,+,+,brak,0,yes
1,epistemiczny,percepcyjny,none,+,+,present,0,yes
1,epistemiczny,percepcyjny,none,+,+,past,0,yes
1,epistemiczny,percepcyjny,none,+,+,future,0,yes
1,epistemiczny,percepcyjny,none,+,+,brak,0,no
1,epistemiczny,percepcyjny,none,+,+,past,0,yes
?,epistemiczny,percepcyjny,none,+,+,present,0,yes
modalne,epistemiczny,percepcyjny,none,+,+,present,1,yes
modalne,epistemiczny,percepcyjny,none,+,+,brak,0,yes
warunkowe,epistemiczny,percepcyjny,none,+,+,future,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
?,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,zdarzeniowy,none,none,+,o,present,0,yes
1,zdarzeniowy,none,none,+,o,present,0,yes
1,zdarzeniowy,none,none,+,o,present,0,no
1,zdarzeniowy,none,none,+,o,present,0,no
1,zdarzeniowy,none,none,+,o,present,0,no
1,zdarzeniowy,none,none,+,o,present,0,yes
1,zdarzeniowy,none,none,+,o,present,0,no
1,zdarzeniowy,none,none,+,o,past,0,yes
1,zdarzeniowy,none,none,+,o,present,0,no
1,zdarzeniowy,none,none,+,o,present,0,yes
1,zdarzeniowy,none,none,+,o,present,0,no
1,zdarzeniowy,none,none,+,o,past,0,no
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,1,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
modalne,epistemiczny,none,none,+,+,brak,0,yes
pytajne,epistemiczny,none,none,+,+,present,0,yes
1,przyczynowy,epistemiczny,none,o,o,past,0,yes
1,emotywny,epistemiczny,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
modalne; pytajne,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,no
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
?,epistemiczny,none,none,+,+,brak,0,no
modalne,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,1,yes
1,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,percepcyjny,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
?,mówienia,epistemiczny,none,+,+,brak,0,yes
1,mówienia,epistemiczny,none,+,+,past,0,yes
1,emotywny,mówienia,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,1,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
pytajne,emotywny,epistemiczny,none,+,+,present,0,yes
1,mówienia,epistemiczny,none,+,+,past,0,yes
1,percepcyjny,none,none,+,+,past,0,yes
1,percepcyjny,none,none,+,+,past,0,no
1,percepcyjny,none,none,+,+,past,0,no
1,epistemiczny,none,none,+,o,present,0,yes
1,epistemiczny,none,none,+,o,present,0,yes
1,epistemiczny,none,none,+,o,present,0,yes
1,epistemiczny,none,none,+,o,present,0,no
1,epistemiczny,none,none,+,+,past,0,yes
1,mówienia,pamięciowy,none,+,+,present,0,yes
1,mówienia,pamięciowy,none,+,+,past,0,yes
1,mówienia,pamięciowy,none,+,+,past,0,yes
1,mówienia,pamięciowy,none,+,+,present,0,yes
1,mówienia,pamięciowy,none,+,+,present,0,yes
modalne,mówienia,pamięciowy,none,+,+,present,1,yes
performatyw,mówienia,pamięciowy,none,+,+,present,0,yes
performatyw,mówienia,pamięciowy,none,+,+,present,0,yes
performatyw,mówienia,pamięciowy,none,+,+,present,0,yes
performatyw,mówienia,pamięciowy,none,+,+,present,0,yes
performatyw,mówienia,pamięciowy,none,+,+,present,0,yes
performatyw,mówienia,pamięciowy,none,+,+,present,0,yes
performatyw,mówienia,pamięciowy,none,+,+,brak,0,yes
1,mówienia,epistemiczny,none,+,+,present,0,yes
1,mówienia,epistemiczny,none,+,+,brak,0,yes
1,mówienia,epistemiczny,none,+,+,present,0,yes
1,mówienia,epistemiczny,none,+,+,present,0,yes
1,mówienia,epistemiczny,none,+,+,present,0,yes
1,epistemiczny,percepcyjny,none,+,+,brak,0,yes
1,epistemiczny,percepcyjny,none,+,+,brak,0,yes
1,epistemiczny,percepcyjny,none,+,+,brak,0,yes
1,epistemiczny,percepcyjny,none,+,+,brak,0,yes
1,epistemiczny,percepcyjny,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,brak,0,no
1,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,brak,0,no
1,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,brak,0,yes
1,percepcyjny,none,none,+,+,past,0,yes
1,percepcyjny,none,none,+,+,past,0,yes
1,percepcyjny,none,none,+,+,past,0,yes
1,percepcyjny,none,none,+,+,past,0,yes
1,percepcyjny,none,none,+,+,past,0,yes
1,epistemiczny,percepcyjny,none,+,+,present,0,yes
1,epistemiczny,percepcyjny,none,+,+,present,1,yes
1,epistemiczny,percepcyjny,none,+,+,present,0,yes
1,epistemiczny,percepcyjny,none,+,+,present,0,yes
1,epistemiczny,percepcyjny,none,+,+,brak,1,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,percepcyjny,none,+,+,present,0,yes
1,percepcyjny,epistemiczny,none,+,+,brak,0,yes
1,percepcyjny,epistemiczny,none,+,+,brak,0,yes
1,percepcyjny,epistemiczny,none,+,+,past,0,yes
1,percepcyjny,epistemiczny,none,+,+,past,0,yes
1,percepcyjny,epistemiczny,none,+,+,brak,0,yes
modalne,epistemiczny,none,none,+,+,future,0,yes
